case,p_mode,q_mode,norm,solved,termination,iterations,time_s,warm_start,linear_solver,mumps_pivot_tolerance,initial_delivery_fraction,max_constraint_violation,constraint_allowance_ratio,max_tsbi_residual,max_voltage_band_violation_pu,max_line_ampacity_ratio,max_inverter_apparent_power_ratio,curtailed_w,delivered_w
4bus_120v,CONSTANT_P,CONSTANT_Q,L1,True,optimal,9,0.023,True,mumps,0.001,0.0001,9.999946981587016e-09,0.0,1.0746958878371515e-13,5.090987631461985e-09,0.03799431071199938,0.6751030254034731,4867.675811752573,10792.324188247427
4bus_120v,CONSTANT_P,CONSTANT_Q,L2,True,optimal,9,0.036,True,mumps,0.001,0.0001,9.999840733243559e-09,0.0,2.711719737646945e-13,5.090935006890618e-09,0.037994310711523704,0.675103025397575,4867.6758118434445,10792.324188156555
4bus_120v,CONSTANT_P,CONSTANT_Q,LINF,True,optimal,10,0.025,True,mumps,0.001,0.0001,9.999665984139483e-09,0.0,1.4432899320127035e-15,5.090856403100474e-09,0.03569395723965707,0.6462331989384588,5253.63221823049,10406.36778176951
4bus_120v,CONSTANT_P,CPF,L1,True,optimal,9,0.026,True,mumps,0.001,0.0001,9.999689853934512e-09,0.0,4.618527782440651e-14,5.090865951018486e-09,0.015751381651070546,0.19185959483702167,12577.79158653897,3082.2084134610304
4bus_120v,CONSTANT_P,CPF,L2,True,optimal,9,0.03,True,mumps,0.001,0.0001,9.999708838748234e-09,0.0,1.6219664500383146e-16,5.090878163471757e-09,0.01575138165103328,0.19185959483697346,12577.791586535928,3082.208413464072
4bus_120v,CONSTANT_P,CPF,LINF,True,optimal,10,0.037,True,mumps,0.001,0.0001,9.99935156897891e-09,0.0,2.0984371647732777e-16,5.0906963089403234e-09,0.015673154649929806,0.18717893244043976,12676.290705856813,2983.7092941431874
4bus_120v,CONSTANT_P,UPF,L1,True,optimal,9,0.027,True,mumps,0.001,0.0001,9.999805206106771e-09,0.0,1.249000902703301e-16,5.0909272353294455e-09,0.018389146712885492,0.443227780914609,8527.35544571474,7132.64455428526
4bus_120v,CONSTANT_P,UPF,L2,True,optimal,9,0.026,True,mumps,0.001,0.0001,9.99983174043706e-09,0.0,1.8984813721090177e-14,5.090941002094951e-09,0.018389146712933773,0.4432277809154236,8527.355445699717,7132.644554300283
4bus_120v,CONSTANT_P,UPF,LINF,True,optimal,11,0.03,True,mumps,0.001,0.0001,9.99965499293154e-09,0.0,9.575673587391975e-16,5.090850851985351e-09,0.017201614439861842,0.4227157454923132,8807.983376281893,6852.016623718107
4bus_120v,CONSTANT_P,VOLT_VAR,L1,True,optimal,9,0.032,True,mumps,0.001,0.0001,9.999805095084469e-09,0.0,1.2797952353044342e-16,5.0909272353294455e-09,0.018385063186615588,0.44317456849205616,8528.268777934654,7131.731222065346
4bus_120v,CONSTANT_P,VOLT_VAR,L2,True,optimal,9,0.025,True,mumps,0.001,0.0001,9.999831962481665e-09,0.0,1.8984813721090177e-14,5.090941002094951e-09,0.01838506318666543,0.4431745684928892,8528.268777919595,7131.731222080405
4bus_120v,CONSTANT_P,VOLT_VAR,LINF,True,optimal,11,0.026,True,mumps,0.001,0.0001,9.99965499293154e-09,0.0,9.992007221626409e-16,5.090850851985351e-09,0.017197741631167038,0.4226617943460925,8808.903440254218,6851.096559745782
4bus_120v,MPPT,CONSTANT_Q,L1,True,optimal,10,0.029,True,mumps,0.001,0.0001,9.999881589450865e-09,0.0,9.49141163063233e-13,5.0909569893065054e-09,0.037994310711741204,0.675103025400216,4867.675811803153,10792.324188196846
4bus_120v,MPPT,CONSTANT_Q,L2,True,optimal,10,0.025,True,mumps,0.001,0.0001,9.999726824361233e-09,0.0,3.090024634012452e-15,5.090887489345164e-09,0.03799431071086399,0.6751030253892576,4867.675811958258,10792.32418804174
4bus_120v,MPPT,CONSTANT_Q,LINF,True,optimal,12,0.028,True,mumps,0.001,0.0001,9.999670202986977e-09,0.0,1.3058004724772038e-13,5.090858623546524e-09,0.03569395723997501,0.646233198942494,5253.632218178438,10406.367781821562
4bus_120v,MPPT,CPF,L1,True,optimal,9,0.025,True,mumps,0.001,0.0001,9.999457928344668e-09,0.0,1.4748621781472539e-12,5.090505350580088e-09,0.015751381652145187,0.19185959483011597,12577.791586682197,3082.208413317803
4bus_120v,MPPT,CPF,L2,True,optimal,10,0.029,True,mumps,0.001,0.0001,9.999708838748234e-09,0.0,5.7232845277762636e-15,5.090878163471757e-09,0.01575138165103344,0.19185959483698498,12577.79158653585,3082.20841346415
4bus_120v,MPPT,CPF,LINF,True,optimal,12,0.034,True,mumps,0.001,0.0001,9.999352568179631e-09,0.0,2.1786084218244935e-14,5.090696753029533e-09,0.01567315464994071,0.18717893244047484,12676.29070585173,2983.7092941482697
